"","Pop","Year","Sex","Cause","Age","Count"
"425","USA",2000,1,"S004",91,426.165175786792
"426","USA",2000,1,"S004",92,346.992361300832
"427","USA",2000,1,"S004",93,277.004283165393
"428","USA",2000,1,"S004",94,216.971981955406
"429","USA",2000,1,"S004",95,167.125845046469
"430","USA",2000,1,"S004",96,126.797843603086
"431","USA",2000,1,"S004",97,94.9847488793741
"432","USA",2000,1,"S004",98,70.3863345546515
"433","USA",2000,1,"S004",99,51.7117830437947
"434","USA",2000,1,"S004",100,37.7384141984003
"435","USA",2000,1,"S004",101,27.4057389197068
"436","USA",2000,1,"S004",102,19.8368845249065
"437","USA",2000,1,"S004",103,14.3243077554956
"438","USA",2000,1,"S004",104,10.3285151452703
"439","USA",2000,1,"S004",105,7.43959533301441
"440","USA",2000,1,"S004",106,5.35560143316946
"441","USA",2000,1,"S004",107,3.85384389739412
"442","USA",2000,1,"S004",108,2.77268954249301
"443","USA",2000,1,"S004",109,1.99461253270625
"444","USA",2000,1,"S004",110,1.43483872512633
"445","USA",2000,1,"S005",0,0.940015194072004
"446","USA",2000,1,"S005",1,1.07198320864743
"447","USA",2000,1,"S005",2,1.22283766967634
"448","USA",2000,1,"S005",3,1.39557512269016
"449","USA",2000,1,"S005",4,1.59389993630589
"450","USA",2000,1,"S005",5,1.82215547089499
"451","USA",2000,1,"S005",6,2.08561208583367
"452","USA",2000,1,"S005",7,2.39053743364956
"453","USA",2000,1,"S005",8,2.74438906322244
"454","USA",2000,1,"S005",9,3.15610725825917
"455","USA",2000,1,"S005",10,3.63617047923311
"456","USA",2000,1,"S005",11,4.19714007173082
"457","USA",2000,1,"S005",12,4.85329080643649
"458","USA",2000,1,"S005",13,5.62141961345931
"459","USA",2000,1,"S005",14,6.51986283200862
"460","USA",2000,1,"S005",15,7.56909163672227
"461","USA",2000,1,"S005",16,8.79117380173919
"462","USA",2000,1,"S005",17,10.2087593643091
"463","USA",2000,1,"S005",18,11.8472878796539
"464","USA",2000,1,"S005",19,13.7310816698347
"465","USA",2000,1,"S005",20,15.8875033271381
"466","USA",2000,1,"S005",21,18.3405580730475
"467","USA",2000,1,"S005",22,21.1198023976331
"468","USA",2000,1,"S005",23,24.2523147315728
"469","USA",2000,1,"S005",24,27.7746254908255
"470","USA",2000,1,"S005",25,31.7291011539339
"471","USA",2000,1,"S005",26,36.1660002804939
"472","USA",2000,1,"S005",27,41.1525471667859
"473","USA",2000,1,"S005",28,46.7538886895875
"474","USA",2000,1,"S005",29,53.051489022431
"475","USA",2000,1,"S005",30,60.1221395692818
"476","USA",2000,1,"S005",31,68.0480772488192
"477","USA",2000,1,"S005",32,76.9006600950969
"478","USA",2000,1,"S005",33,86.7191836536013
"479","USA",2000,1,"S005",34,97.5260076685709
"480","USA",2000,1,"S005",35,109.229176909978
"481","USA",2000,1,"S005",36,121.747525230953
"482","USA",2000,1,"S005",37,134.809818465544
"483","USA",2000,1,"S005",38,148.215319450465
"484","USA",2000,1,"S005",39,161.59472319751
"485","USA",2000,1,"S005",40,174.660315745545
"486","USA",2000,1,"S005",41,187.023770698724
"487","USA",2000,1,"S005",42,198.351055299823
"488","USA",2000,1,"S005",43,208.228222194115
"489","USA",2000,1,"S005",44,216.324581901392
"490","USA",2000,1,"S005",45,222.240978926318
"491","USA",2000,1,"S005",46,225.759259835364
"492","USA",2000,1,"S005",47,226.720252623238
"493","USA",2000,1,"S005",48,225.14445098136
"494","USA",2000,1,"S005",49,221.328366680523
"495","USA",2000,1,"S005",50,215.517348597782
"496","USA",2000,1,"S005",51,208.340713492779
"497","USA",2000,1,"S005",52,200.103473514375
"498","USA",2000,1,"S005",53,191.437769990246
"499","USA",2000,1,"S005",54,182.579662391112
"500","USA",2000,1,"S005",55,174.044643249839
"501","USA",2000,1,"S005",56,165.960671371462
"502","USA",2000,1,"S005",57,158.696263212285
"503","USA",2000,1,"S005",58,152.290047024767
"504","USA",2000,1,"S005",59,146.986645579614
"505","USA",2000,1,"S005",60,142.781978988252
"506","USA",2000,1,"S005",61,139.853663436505
"507","USA",2000,1,"S005",62,138.201614740657
"508","USA",2000,1,"S005",63,137.964031245855
"509","USA",2000,1,"S005",64,139.184633868518
"510","USA",2000,1,"S005",65,142.004819632504
"511","USA",2000,1,"S005",66,146.545195250987
"512","USA",2000,1,"S005",67,152.958129544158
"513","USA",2000,1,"S005",68,161.45752254325
"514","USA",2000,1,"S005",69,172.179319912834
"515","USA",2000,1,"S005",70,185.416992756042
"516","USA",2000,1,"S005",71,201.245335636335
"517","USA",2000,1,"S005",72,219.983487504399
"518","USA",2000,1,"S005",73,241.620955809225
"519","USA",2000,1,"S005",74,266.419947168887
"520","USA",2000,1,"S005",75,294.131770995425
"521","USA",2000,1,"S005",76,324.793818621965
"522","USA",2000,1,"S005",77,357.813229752842
"523","USA",2000,1,"S005",78,392.859368183465
"524","USA",2000,1,"S005",79,428.984503885488
"525","USA",2000,1,"S005",80,465.453728779039
"526","USA",2000,1,"S005",81,500.855969836091
"527","USA",2000,1,"S005",82,534.01844820227
"528","USA",2000,1,"S005",83,562.619232828305
"529","USA",2000,1,"S005",84,584.918564235632
"530","USA",2000,1,"S005",85,597.850841398489
"531","USA",2000,1,"S005",86,599.628775339585
"532","USA",2000,1,"S005",87,588.267159348583
"533","USA",2000,1,"S005",88,563.529315398484
"534","USA",2000,1,"S005",89,526.16711537736
"535","USA",2000,1,"S005",90,478.348629362082
"536","USA",2000,1,"S005",91,423.268414719047
"537","USA",2000,1,"S005",92,364.453416812965
"538","USA",2000,1,"S005",93,305.740797269756
"539","USA",2000,1,"S005",94,250.098164541018
"540","USA",2000,1,"S005",95,199.956174379316
"541","USA",2000,1,"S005",96,156.519412587965
"542","USA",2000,1,"S005",97,120.302537650406
"543","USA",2000,1,"S005",98,91.0007091285356
"544","USA",2000,1,"S005",99,67.9573227181436
"545","USA",2000,1,"S005",100,50.2343870125609
"546","USA",2000,1,"S005",101,36.854039048937
"547","USA",2000,1,"S005",102,26.8994979060103
"548","USA",2000,1,"S005",103,19.5603863797306
"549","USA",2000,1,"S005",104,14.1901342738936
"550","USA",2000,1,"S005",105,10.2767530384014
"551","USA",2000,1,"S005",106,7.43527387572469
"552","USA",2000,1,"S005",107,5.37573104958869
"553","USA",2000,1,"S005",108,3.88534404013371
"554","USA",2000,1,"S005",109,2.80752380721416
"555","USA",2000,1,"S005",110,2.02854372770408
"556","USA",2000,1,"S006",0,98.2776913787948
"557","USA",2000,1,"S006",1,84.0393414009793
"558","USA",2000,1,"S006",2,72.2745627376854
"559","USA",2000,1,"S006",3,62.7181374461944
"560","USA",2000,1,"S006",4,55.100656793669
"561","USA",2000,1,"S006",5,49.136324266737
"562","USA",2000,1,"S006",6,44.5416424232949
"563","USA",2000,1,"S006",7,41.0943173248918
"564","USA",2000,1,"S006",8,38.5788012780342
